"pclass","survived","name","sex","age","sibsp","parch","ticket","fare","cabin","embarked","boat","body","home.dest","has_cabin_number"
1,1,22,1,29,0,0,188,211.3375,NA,NA,2,NA,309,1
1,1,24,2,0.9167,1,2,50,151.55,NA,NA,11,NA,231,1
1,0,25,1,2,1,2,50,151.55,NA,NA,NA,NA,231,1
1,0,26,2,30,1,2,50,151.55,NA,NA,NA,135,231,1
1,0,27,1,25,1,2,50,151.55,NA,NA,NA,NA,231,1
1,1,31,2,48,0,0,125,26.55,NA,NA,3,NA,237,1
1,1,46,1,63,1,0,93,77.9583,NA,NA,10,NA,162,1
1,0,47,2,39,0,0,16,0,NA,NA,NA,NA,24,1
1,1,51,1,53,2,0,77,51.4792,NA,NA,NA,NA,22,1
1,0,55,2,71,0,0,826,49.5042,NA,NA,NA,22,229,0
1,0,69,2,47,1,0,834,227.525,NA,NA,NA,124,237,1
1,1,70,1,18,1,0,834,227.525,NA,NA,4,NA,237,1
1,1,73,1,24,0,0,796,69.3,NA,NA,9,NA,258,1
1,1,93,1,26,0,0,119,78.85,NA,NA,6,NA,NA,0
1,1,94,2,80,0,0,297,30,NA,NA,NA,NA,158,1
1,0,98,2,29.8811345124283,0,0,791,25.925,NA,NA,NA,NA,237,0
1,0,99,2,24,0,1,801,247.5208,NA,NA,NA,NA,230,1
1,1,100,1,50,0,1,801,247.5208,NA,NA,6,NA,230,1
1,1,101,1,32,0,0,82,76.2917,NA,NA,8,NA,NA,1
1,0,104,2,36,0,0,89,75.2417,NA,NA,NA,NA,363,1
1,1,111,2,37,1,1,71,52.5542,NA,NA,5,NA,237,1
1,1,112,1,47,1,1,71,52.5542,NA,NA,5,NA,237,1
1,1,114,2,26,0,0,12,30,NA,NA,5,NA,237,1
1,1,121,1,42,0,0,834,227.525,NA,NA,4,NA,NA,0
1,1,123,1,29,0,0,798,221.7792,NA,NA,8,NA,NA,1
1,0,125,2,25,0,0,100,26,NA,NA,NA,148,284,0
1,1,126,2,25,1,0,83,91.0792,NA,NA,7,NA,98,1
1,1,127,1,19,1,0,83,91.0792,NA,NA,7,NA,98,1
1,1,128,1,35,0,0,837,135.6333,NA,NA,8,NA,NA,1
1,1,130,2,28,0,0,6,26.55,NA,NA,NA,NA,312,1
1,0,131,2,45,0,0,52,35.5,NA,NA,NA,NA,340,1
1,1,132,2,40,0,0,22,31,NA,NA,7,NA,131,1
1,1,133,1,30,0,0,627,164.8667,NA,NA,8,NA,368,1
1,1,134,1,58,0,0,51,26.55,NA,NA,8,NA,31,1
1,0,135,2,42,0,0,5,26.55,NA,NA,NA,NA,208,1
1,1,145,1,45,0,0,825,262.375,NA,NA,4,NA,76,0
1,1,148,1,22,0,1,39,55,NA,NA,6,NA,308,1
1,1,151,2,29.8811345124283,0,0,14,26.55,NA,NA,9,NA,215,0
1,0,152,2,41,0,0,33,30.5,NA,NA,NA,NA,268,1
1,0,154,2,48,0,0,809,50.4958,NA,NA,NA,208,249,1
1,0,157,2,29.8811345124283,0,0,25,39.6,NA,NA,NA,NA,264,0
1,1,163,1,44,0,0,827,27.7208,NA,NA,6,NA,92,1
1,1,164,1,59,2,0,77,51.4792,NA,NA,NA,NA,27,1
1,1,170,1,60,0,0,82,76.2917,NA,NA,8,NA,264,1
1,1,172,1,41,0,0,106,134.5,NA,NA,3,NA,NA,1
1,0,176,2,45,0,0,31,26.55,NA,NA,NA,NA,349,1
1,0,183,2,29.8811345124283,0,0,63,31,NA,NA,NA,NA,NA,0
1,1,184,2,42,0,0,795,26.2875,NA,NA,5,NA,237,1
1,1,194,1,53,0,0,823,27.4458,NA,NA,6,NA,349,0
1,1,199,2,36,0,1,832,512.3292,NA,NA,3,NA,15,1
1,1,200,1,58,0,1,832,512.3292,NA,NA,3,NA,128,1
1,0,203,2,33,0,0,689,5,NA,NA,NA,NA,237,1
1,0,206,2,28,0,0,36,47.1,NA,NA,NA,NA,229,0
1,0,207,2,17,0,0,36,47.1,NA,NA,NA,NA,229,0
1,1,208,2,11,1,2,44,120,NA,NA,4,NA,52,1
1,1,209,1,14,1,2,44,120,NA,NA,4,NA,52,1
1,1,210,2,36,1,2,44,120,NA,NA,NA,NA,52,1
1,1,212,1,36,1,2,44,120,NA,NA,4,NA,52,1
1,0,215,2,49,0,0,120,26,NA,NA,NA,NA,9,0
1,1,216,1,29.8811345124283,0,0,118,27.7208,NA,NA,5,NA,237,0
1,0,217,2,36,1,0,119,78.85,NA,NA,NA,172,192,1
1,1,218,1,76,1,0,119,78.85,NA,NA,6,NA,192,1
1,0,220,2,46,1,0,927,61.175,NA,NA,NA,NA,5,1
1,1,221,1,47,1,0,927,61.175,NA,NA,4,NA,5,1
1,1,222,2,27,1,0,68,53.1,NA,NA,5,NA,241,1
1,1,223,1,33,1,0,68,53.1,NA,NA,5,NA,241,1
1,1,228,1,36,0,0,825,262.375,NA,NA,4,NA,NA,1
1,1,229,1,30,0,0,1,86.5,NA,NA,8,NA,212,1
1,1,230,2,45,0,0,812,29.7,NA,NA,7,NA,258,1
1,1,231,1,29.8811345124283,0,1,39,55,NA,NA,6,NA,308,1
1,0,233,2,29.8811345124283,0,0,17,0,NA,NA,NA,NA,195,0
1,0,239,2,27,1,0,95,136.7792,NA,NA,NA,NA,215,1
1,1,240,1,26,1,0,95,136.7792,NA,NA,4,NA,215,1
1,1,243,1,22,0,0,50,151.55,NA,NA,11,NA,NA,0
1,0,244,2,29.8811345124283,0,0,3,52,NA,NA,NA,NA,314,1
1,0,253,2,47,0,0,680,25.5875,NA,NA,NA,NA,346,1
1,1,257,1,39,1,1,833,83.1583,NA,NA,14,NA,189,1
1,0,258,2,37,1,1,833,83.1583,NA,NA,NA,NA,189,1
1,1,259,1,64,0,2,833,83.1583,NA,NA,14,NA,189,1
1,1,272,1,55,2,0,78,25.7,NA,NA,2,NA,237,1
1,0,278,2,29.8811345124283,0,0,58,26.55,NA,NA,NA,NA,275,0
1,0,282,2,70,1,1,929,71,NA,NA,NA,269,227,1
1,1,283,1,36,0,2,929,71,NA,NA,7,NA,227,1
1,1,284,1,64,1,1,26,26.55,NA,NA,7,NA,227,1
1,0,286,2,39,1,0,817,71.2833,NA,NA,NA,NA,237,1
1,1,287,1,38,1,0,817,71.2833,NA,NA,4,NA,237,1
1,1,295,2,51,0,0,34,26.55,NA,NA,NA,NA,191,1
1,1,299,2,27,0,0,67,30.5,NA,NA,3,NA,264,0
1,1,300,1,33,0,0,50,151.55,NA,NA,8,NA,NA,0
1,0,303,2,31,1,0,780,52,NA,NA,NA,NA,230,1
1,1,304,1,27,1,2,780,52,NA,NA,3,NA,230,1
1,1,335,2,31,1,0,114,57,NA,NA,3,NA,58,1
1,1,336,1,17,1,0,114,57,NA,NA,3,NA,58,1
1,1,340,2,53,1,1,399,81.8583,NA,NA,13,NA,284,1
1,1,341,2,4,0,2,399,81.8583,NA,NA,5,NA,284,1
1,1,342,1,54,1,1,399,81.8583,NA,NA,5,NA,284,1
1,0,348,2,50,1,0,838,106.425,NA,NA,NA,62,88,1
1,1,349,1,27,1,1,801,247.5208,NA,NA,6,NA,230,1
1,1,350,1,48,1,0,838,106.425,NA,NA,2,NA,88,1
1,1,360,1,48,1,0,74,39.6,NA,NA,1,NA,206,1
1,1,361,2,49,1,0,799,56.9292,NA,NA,1,NA,206,1
1,0,362,2,39,0,0,805,29.7,NA,NA,NA,133,264,1
1,1,368,1,23,0,1,76,83.1583,NA,NA,7,NA,233,1
1,1,381,1,38,0,0,834,227.525,NA,NA,4,NA,237,1
1,1,382,1,54,1,0,628,78.2667,NA,NA,4,NA,48,1
1,0,383,1,36,0,0,800,31.6792,NA,NA,NA,NA,237,1
1,0,387,2,29.8811345124283,0,0,798,221.7792,NA,NA,NA,NA,NA,1
1,1,393,1,29.8811345124283,0,0,816,31.6833,NA,NA,7,NA,237,0
1,1,395,1,29.8811345124283,0,0,108,110.8833,NA,NA,4,NA,NA,0
1,1,398,2,36,0,0,793,26.3875,NA,NA,5,NA,49,1
1,0,408,2,30,0,0,32,27.75,NA,NA,NA,NA,237,1
1,1,409,1,24,3,2,124,263,NA,NA,10,NA,362,1
1,1,410,1,28,3,2,124,263,NA,NA,10,NA,362,1
1,1,411,1,23,3,2,124,263,NA,NA,10,NA,362,1
1,0,412,2,19,3,2,124,263,NA,NA,NA,NA,362,1
1,0,413,2,64,1,4,124,263,NA,NA,NA,NA,362,1
1,1,414,1,60,1,4,124,263,NA,NA,10,NA,362,1
1,1,417,1,30,0,0,799,56.9292,NA,NA,1,NA,NA,1
1,0,419,2,29.8811345124283,0,0,48,26.55,NA,NA,NA,NA,356,1
1,1,420,2,50,2,0,828,133.65,NA,NA,5,NA,237,0
1,1,421,2,43,1,0,117,27.7208,NA,NA,5,NA,237,1
1,1,422,1,29.8811345124283,1,0,828,133.65,NA,NA,5,NA,237,0
1,1,425,1,22,0,2,98,49.5,NA,NA,5,NA,369,1
1,1,423,2,60,1,1,97,79.2,NA,NA,5,NA,369,1
1,1,424,1,48,1,1,97,79.2,NA,NA,5,NA,369,1
1,0,427,2,29.8811345124283,0,0,20,0,NA,NA,NA,NA,NA,1
1,0,429,2,37,1,0,66,53.1,NA,NA,NA,NA,287,1
1,1,430,1,35,1,0,66,53.1,NA,NA,NA,NA,287,1
1,0,439,2,47,0,0,10,38.5,NA,NA,NA,275,301,1
1,1,440,1,35,0,0,38,211.5,NA,NA,4,NA,NA,1
1,1,442,1,22,0,1,24,59.4,NA,NA,7,NA,237,0
1,1,443,1,45,0,1,24,59.4,NA,NA,7,NA,237,0
1,0,444,2,24,0,0,811,79.2,NA,NA,NA,NA,NA,1
1,1,455,2,49,1,0,109,89.1042,NA,NA,5,NA,259,1
1,1,456,1,29.8811345124283,1,0,109,89.1042,NA,NA,5,NA,259,1
1,0,457,2,71,0,0,831,34.6542,NA,NA,NA,NA,237,1
1,1,471,2,53,0,0,49,28.5,NA,NA,NA,NA,349,1
1,1,472,1,19,0,0,19,30,NA,NA,3,NA,138,1
1,0,473,2,38,0,1,806,153.4625,NA,NA,NA,147,362,1
1,1,474,1,58,0,1,806,153.4625,NA,NA,3,NA,138,1
1,1,477,2,23,0,1,836,63.3583,NA,NA,7,NA,237,1
1,1,478,1,45,0,1,836,63.3583,NA,NA,7,NA,237,1
1,0,481,2,46,0,0,811,79.2,NA,NA,NA,NA,237,1
1,1,502,2,25,1,0,75,55.4417,NA,NA,5,NA,49,1
1,1,503,1,25,1,0,75,55.4417,NA,NA,5,NA,49,1
1,1,507,2,48,1,0,804,76.7292,NA,NA,3,NA,237,1
1,1,508,1,49,1,0,804,76.7292,NA,NA,3,NA,237,1
1,0,510,2,29.8811345124283,0,0,62,42.4,NA,NA,NA,NA,NA,0
1,0,512,2,45,1,0,631,83.475,NA,NA,NA,NA,237,1
1,1,514,1,35,1,0,631,83.475,NA,NA,NA,NA,237,1
1,0,515,2,40,0,0,21,0,NA,NA,NA,110,NA,1
1,1,520,2,27,0,0,804,76.7292,NA,NA,3,NA,NA,1
1,1,522,2,29.8811345124283,0,0,107,30,NA,NA,3,NA,182,1
1,1,523,1,24,0,0,76,83.1583,NA,NA,7,NA,237,1
1,0,524,2,55,1,1,87,93.5,NA,NA,NA,307,230,1
1,1,525,1,52,1,1,87,93.5,NA,NA,3,NA,230,1
1,0,526,2,42,0,0,28,42.5,NA,NA,NA,NA,203,1
1,0,545,2,29.8811345124283,0,0,110,51.8625,NA,NA,NA,NA,40,1
1,0,547,2,55,0,0,686,50,NA,NA,NA,NA,200,1
1,1,548,1,16,0,1,11,57.9792,NA,NA,4,NA,63,1
1,1,549,1,44,0,1,11,57.9792,NA,NA,4,NA,63,1
1,1,557,1,51,1,0,93,77.9583,NA,NA,10,NA,162,1
1,0,562,2,42,1,0,56,52,NA,NA,NA,38,237,0
1,1,563,1,35,1,0,56,52,NA,NA,8,NA,237,0
1,1,564,2,35,0,0,13,26.55,NA,NA,15,NA,169,0
1,1,572,2,38,1,0,122,90,NA,NA,NA,NA,238,1
1,0,573,2,29.8811345124283,0,0,818,30.6958,NA,NA,14,NA,237,0
1,1,574,1,35,1,0,122,90,NA,NA,NA,NA,238,1
1,1,579,1,38,0,0,43,80,NA,NA,6,NA,NA,1
1,0,584,1,50,0,0,813,28.7125,NA,NA,NA,NA,260,1
1,1,585,2,49,0,0,20,0,NA,NA,NA,NA,193,1
1,0,618,2,46,0,0,688,26,NA,NA,NA,80,28,0
1,0,622,2,50,0,0,30,26,NA,NA,NA,NA,197,1
1,0,643,2,32.5,0,0,38,211.5,NA,NA,NA,45,NA,1
1,0,649,2,58,0,0,79,29.7,NA,NA,NA,258,55,1
1,0,650,2,41,1,0,111,51.8625,NA,NA,NA,NA,295,1
1,1,651,1,29.8811345124283,1,0,111,51.8625,NA,NA,8,NA,295,1
1,1,657,2,42,1,0,73,52.5542,NA,NA,5,NA,33,1
1,1,658,1,45,1,0,73,52.5542,NA,NA,5,NA,33,1
1,0,665,2,29.8811345124283,0,0,27,26.55,NA,NA,NA,NA,270,1
1,1,672,1,39,0,0,188,211.3375,NA,NA,2,NA,NA,0
1,1,692,1,49,0,0,112,25.9292,NA,NA,8,NA,237,1
1,1,707,1,30,0,0,838,106.425,NA,NA,2,NA,NA,0
1,1,709,2,35,0,0,832,512.3292,NA,NA,3,NA,NA,1
1,0,711,2,29.8811345124283,0,0,829,27.7208,NA,NA,NA,NA,63,0
1,0,716,2,42,0,0,115,26.55,NA,NA,NA,NA,311,0
1,1,720,1,55,0,0,23,27.7208,NA,NA,6,NA,311,0
1,1,722,1,16,0,1,810,39.4,NA,NA,9,NA,258,1
1,1,723,1,51,0,1,810,39.4,NA,NA,9,NA,258,1
1,0,730,2,29,0,0,37,30,NA,NA,NA,126,299,1
1,1,731,1,21,0,0,93,77.9583,NA,NA,10,NA,162,1
1,0,732,2,30,0,0,65,45.5,NA,NA,NA,NA,205,0
1,1,740,1,58,0,0,803,146.5208,NA,NA,NA,NA,NA,1
1,1,745,1,15,0,1,188,211.3375,NA,NA,2,NA,309,1
1,0,748,2,30,0,0,4,26,NA,NA,NA,NA,45,1
1,1,751,1,16,0,0,1,86.5,NA,NA,8,NA,NA,1
1,1,763,2,29.8811345124283,0,0,80,29.7,NA,NA,7,NA,258,1
1,0,766,2,19,1,0,46,53.1,NA,NA,NA,NA,237,1
1,1,767,1,18,1,0,46,53.1,NA,NA,10,NA,237,1
1,1,772,1,24,0,0,797,49.5042,NA,NA,6,NA,25,1
1,0,773,2,46,0,0,89,75.2417,NA,NA,NA,292,345,1
1,0,775,2,54,0,0,110,51.8625,NA,NA,NA,175,96,1
1,1,784,2,36,0,0,792,26.2875,NA,NA,7,NA,264,1
1,0,801,2,28,1,0,821,82.1708,NA,NA,NA,NA,237,0
1,1,802,1,29.8811345124283,1,0,821,82.1708,NA,NA,6,NA,237,0
1,0,805,2,65,0,0,96,26.55,NA,NA,NA,249,100,1
1,0,807,2,44,2,0,121,90,NA,NA,NA,230,123,1
1,1,808,1,33,1,0,121,90,NA,NA,14,NA,135,1
1,1,809,1,37,1,0,121,90,NA,NA,14,NA,123,1
1,1,815,2,30,1,0,92,57.75,NA,NA,11,NA,237,1
1,0,818,2,55,0,0,54,30.5,NA,NA,NA,NA,230,1
1,0,822,2,47,0,0,62,42.4,NA,NA,NA,NA,349,0
1,0,856,2,37,0,1,814,29.7,NA,NA,NA,NA,49,1
1,1,863,1,31,1,0,574,113.275,NA,NA,6,NA,190,1
1,1,864,1,23,1,0,574,113.275,NA,NA,6,NA,190,1
1,0,865,2,58,0,2,574,113.275,NA,NA,NA,122,190,1
1,1,866,1,19,0,2,72,26.2833,NA,NA,5,NA,237,1
1,0,868,2,64,0,0,687,26,NA,NA,NA,263,175,0
1,1,899,1,39,0,0,835,108.9,NA,NA,8,NA,NA,1
1,1,908,2,29.8811345124283,0,0,781,25.7417,NA,NA,7,NA,258,0
1,1,914,1,22,0,1,40,61.9792,NA,NA,5,NA,273,1
1,0,915,2,65,0,1,40,61.9792,NA,NA,NA,234,273,1
1,0,917,2,28.5,0,0,802,27.7208,NA,NA,NA,189,1,1
1,0,935,2,29.8811345124283,0,0,18,0,NA,NA,NA,NA,23,0
1,0,937,2,45.5,0,0,29,28.5,NA,NA,NA,166,317,1
1,0,942,2,23,0,0,87,93.5,NA,NA,NA,NA,230,1
1,0,947,2,29,1,0,47,66.6,NA,NA,NA,NA,176,1
1,1,948,1,22,1,0,47,66.6,NA,NA,8,NA,176,1
1,0,953,2,18,1,0,835,108.9,NA,NA,NA,NA,219,1
1,1,954,1,17,1,0,835,108.9,NA,NA,8,NA,219,1
1,1,958,1,30,0,0,87,93.5,NA,NA,3,NA,NA,1
1,1,971,2,52,0,0,53,30.5,NA,NA,6,NA,337,1
1,0,982,2,47,0,0,3,52,NA,NA,NA,207,366,1
1,1,983,1,56,0,1,76,83.1583,NA,NA,7,NA,233,1
1,0,996,2,38,0,0,126,0,NA,NA,NA,NA,278,0
1,1,999,2,29.8811345124283,0,0,824,39.6,NA,NA,NA,NA,255,0
1,0,1012,2,22,0,0,837,135.6333,NA,NA,NA,232,NA,0
1,0,1017,2,29.8811345124283,0,0,834,227.525,NA,NA,NA,NA,NA,0
1,1,1018,1,43,0,1,188,211.3375,NA,NA,2,NA,309,1
1,0,1021,2,31,0,0,808,50.4958,NA,NA,NA,NA,340,1
1,1,1024,2,45,0,0,15,26.55,NA,NA,9,NA,237,0
1,0,1026,2,29.8811345124283,0,0,45,50,NA,NA,NA,NA,288,1
1,1,1030,1,33,0,0,830,27.7208,NA,NA,11,NA,258,1
1,0,1031,2,46,0,0,807,79.2,NA,NA,NA,16,237,0
1,0,1032,2,36,0,0,88,40.125,NA,NA,NA,NA,362,1
1,1,1034,1,33,0,0,1,86.5,NA,NA,8,NA,198,1
1,0,1035,2,55,1,0,820,59.4,NA,NA,NA,NA,237,0
1,1,1036,1,54,1,0,820,59.4,NA,NA,6,NA,237,0
1,0,1038,2,33,0,0,57,26.55,NA,NA,NA,109,197,0
1,1,1043,2,13,2,2,825,262.375,NA,NA,4,NA,156,1
1,1,1044,1,18,2,2,825,262.375,NA,NA,4,NA,156,1
1,1,1045,1,21,2,2,825,262.375,NA,NA,4,NA,156,1
1,0,1046,2,61,1,3,825,262.375,NA,NA,NA,NA,156,1
1,1,1047,1,48,1,3,825,262.375,NA,NA,4,NA,156,1
1,1,1051,2,29.8811345124283,0,0,127,30.5,NA,NA,3,NA,221,1
1,1,1066,1,24,0,0,796,69.3,NA,NA,9,NA,NA,1
1,1,1069,2,29.8811345124283,0,0,8,26,NA,NA,1,NA,237,0
1,1,1081,1,35,1,0,92,57.75,NA,NA,11,NA,237,1
1,1,1085,1,30,0,0,63,31,NA,NA,4,NA,NA,0
1,1,1086,2,34,0,0,60,26.55,NA,NA,7,NA,237,0
1,1,1094,1,40,0,0,806,153.4625,NA,NA,3,NA,240,1
1,1,1096,2,35,0,0,794,26.2875,NA,NA,5,NA,309,1
1,0,1097,2,50,1,0,94,55.9,NA,NA,NA,NA,99,1
1,1,1098,1,39,1,0,94,55.9,NA,NA,11,NA,99,1
1,1,1100,2,56,0,0,90,35.5,NA,NA,3,NA,20,1
1,1,1119,2,28,0,0,55,35.5,NA,NA,7,NA,235,1
1,0,1120,2,56,0,0,59,26.55,NA,NA,NA,NA,237,0
1,0,1123,2,56,0,0,116,30.6958,NA,NA,NA,NA,307,1
1,0,1124,2,24,1,0,99,60,NA,NA,NA,NA,163,1
1,0,1125,2,29.8811345124283,0,0,35,26,NA,NA,NA,NA,315,1
1,1,1127,1,18,1,0,99,60,NA,NA,6,NA,163,1
1,1,1129,2,24,1,0,132,82.2667,NA,NA,7,NA,228,1
